date,murabaha_immobiliere_kDH,murabaha_total_kDH,murabaha_hors_marges_kDH,murabaha_immobiliere_hors_marges_kDH,murabaha_automobile_kDH,murabaha_equipement_kDH,murabaha_matieres_premieres_kDH,depot_vue_kDH,depot_investissement_kDH,credit_habitat_MDH,credit_habitat_participatif_MDH,credit_habitat_participatif_flash_MDH,ipai_global,ipai_residentiel,ipai_appartement,ipai_maison,policy_rate_pct,lending_rate_credits_immobiliers_pct,lending_rate_global_pct,lending_rate_credits_equipement_pct,lending_rate_credits_consommation_pct,murabaha_immobiliere_growth_yoy_pct,murabaha_total_growth_yoy_pct,credit_habitat_growth_yoy_pct,murabaha_immobiliere_MDH,penetration_murabaha_in_habitat_pct
2022-04-01,12914148.0,,,,1240974.0,989953.0,,5758054.0,1830061.0,233100000.0,,15900000.0,105.6263293081492,106.0226941096934,105.4866487309301,106.6477371138025,1.5,4.65,4.29,4.56,6.32,30.740567885811366,42.00499443542609,,12914.148,0.005539868113784976
2022-05-01,13007714.0,,,,1239824.0,1005088.0,,5782928.0,1972757.0,233100000.0,,15900000.0,105.6263293081492,106.0226941096934,105.4866487309301,106.6477371138025,1.5,4.65,4.29,4.56,6.32,28.14683854167899,42.00499443542609,,13007.714,0.005580003504548666
2022-06-01,13288733.0,,,,1257972.0,1080903.0,,5800260.0,1951930.0,233100000.0,,15900000.0,105.6263293081492,106.0226941096934,105.4866487309301,106.6477371138025,1.5,4.65,4.29,4.56,6.32,23.217880739681895,42.00499443542609,,13288.733,0.0057005471769653
2022-07-01,13582430.0,,,,1278517.0,1086763.0,,5841801.0,2175205.0,233100000.0,,15900000.0,106.2486893622628,106.5992893414174,106.0111946609518,107.6838194481285,1.5,4.69,4.24,4.14,6.39,24.0297979872232,42.00499443542609,,13582.43,0.005826528792709266
2022-08-01,13758616.0,,,,1267338.0,1148424.0,,5916240.0,2201811.0,233100000.0,,15900000.0,106.2486893622628,106.5992893414174,106.0111946609518,107.6838194481285,1.5,4.69,4.24,4.14,6.39,23.703308767005304,42.00499443542609,,13758.616,0.005902103797598699
2022-09-01,13906056.0,,,,1260685.0,1178975.0,,6007879.0,2332431.0,233100000.0,,15900000.0,106.2486893622628,106.5992893414174,106.0111946609518,107.6838194481285,2.0,4.69,4.24,4.14,6.39,25.028937438130882,42.00499443542609,,13906.056,0.005965348114693512
2022-10-01,14264046.0,,,,1221735.0,1360889.0,,6152128.0,2267583.0,238012.0,14161211.0,15900000.0,106.1748948709661,106.862754004693,106.2437306035055,107.9862740871563,2.0,4.84,4.5,4.4,6.4,28.24761492033552,42.00499443542609,,14264.046,5.654142050410922
2022-11-01,14457187.0,,,,1239046.0,1441830.0,,6389032.0,2272328.0,238012.0,14161211.0,15900000.0,106.1748948709661,106.862754004693,106.2437306035055,107.9862740871563,2.0,4.84,4.5,4.4,6.4,29.984139928270046,42.00499443542609,,14457.187,5.7263174060127975
2022-12-01,14634522.0,,,,1226435.0,1536206.0,,7023120.0,2301109.0,239000000.0,14161211.0,18900000.0,106.1748948709661,106.862754004693,106.2437306035055,107.9862740871563,2.5,4.84,4.5,4.4,6.4,31.578553658560704,42.00499443542609,2.531102531102536,14634.522,0.006122856045725924
2023-01-01,14752476.0,,,,1237662.0,1631476.0,,6920579.0,2368002.0,239000000.0,14161211.0,18900000.0,105.968224507023,106.4495969151751,105.9103897670872,107.0786182269298,2.5,4.79,5.03,4.4,6.95,20.254913932311513,42.00499443542609,2.531102531102536,14752.476,0.006172203115990227
2023-02-01,20608205.0,24040271.0,17913558.0,14932637.0,1441527.0,1990539.0,,6900495.0,2324593.0,239000000.0,14161211.0,18900000.0,105.968224507023,106.4495969151751,105.9103897670872,107.0786182269298,2.5,4.79,5.03,4.4,6.95,65.23400608380298,67.80464715910772,2.531102531102536,20608.205,0.00862193647433322
2023-03-01,20987162.0,24487043.0,18264746.0,15229914.0,1431321.0,2068559.0,,7208337.0,2418109.0,239000000.0,14161211.0,18900000.0,105.968224507023,106.4495969151751,105.9103897670872,107.0786182269298,3.0,4.79,5.03,4.4,6.95,17.62266076355332,20.36420442580864,2.531102531102536,20987.162,0.008780468296608465
2023-04-01,21259338.0,24806846.0,18595182.0,15520847.0,1473398.0,2074110.0,,7228173.0,2471377.0,239000000.0,14161211.0,18900000.0,106.0042396051499,106.4033060534326,105.9045842237604,107.2903473520217,3.0,4.98,5.26,4.74,7.27,64.62052316575588,21.936171840085116,2.531102531102536,21259.338,0.008894329340779335
2023-05-01,,,,,,,,,,239000000.0,14161211.0,18900000.0,106.0042396051499,106.4033060534326,105.9045842237604,107.2903473520217,3.0,4.98,5.26,4.74,7.27,63.43638859218461,21.936171840085116,2.531102531102536,,
2023-06-01,21911046.0,25788604.0,19344689.0,15995780.0,1442745.0,2434813.0,,7669644.0,2530686.0,239000000.0,14161211.0,18900000.0,106.0042396051499,106.4033060534326,105.9045842237604,107.2903473520217,3.0,4.98,5.26,4.74,7.27,64.88438739795586,26.761928898978393,2.531102531102536,21911.046,0.00916696126481191
2023-07-01,22053835.0,26089857.0,19707707.0,16220791.0,1456197.0,2579825.0,,7718878.0,2726537.0,239000000.0,14161211.0,18900000.0,106.0780099871633,106.6582537230376,106.212014038202,106.8307920161156,3.0,5.21,5.36,5.11,7.25,62.37031959671428,28.24271519383188,2.531102531102536,22053.835,0.009226694627611243
2023-08-01,22262011.0,26454480.0,19968899.0,16359207.0,1478888.0,2713581.0,,7895810.0,2777033.0,239000000.0,14161211.0,18900000.0,106.0780099871633,106.6582537230376,106.212014038202,106.8307920161156,3.0,5.21,5.36,5.11,7.25,61.804145126224896,30.034991921991818,2.531102531102536,22262.011,0.009313781407932405
